Starting server on port 37475
 * Serving Flask app 'system_monitor_rev0.4'
 * Debug mode: off
Starting monitoring with file: thermal_cpu_mem_gpu_wifi.log for client IP: 10.88.89.75
<generator object read_data_from_file at 0x7e8b87368740>
{'elapsed_time': '26:49', 'cpu_usage': 67.4, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 68.2, 'rx_receiver_throughput': 66.4}
{'elapsed_time': '27:07', 'cpu_usage': 55.2, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 68.4, 'rx_receiver_throughput': 66.6}
{'elapsed_time': '27:25', 'cpu_usage': 57.3, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 70.8, 'rx_receiver_throughput': 69.3}
{'elapsed_time': '27:43', 'cpu_usage': 58.5, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.7, 'rx_receiver_throughput': 66.8}
{'elapsed_time': '28:00', 'cpu_usage': 53.9, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 64.3, 'rx_receiver_throughput': 62.6}
{'elapsed_time': '28:18', 'cpu_usage': 59.3, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 65.5, 'rx_receiver_throughput': 63.6}
{'elapsed_time': '28:36', 'cpu_usage': 58.0, 'temperature': 48, 'memory_test_failure': 0, 'tx_sender_throughput': 68.9, 'rx_receiver_throughput': 67.0}
{'elapsed_time': '28:53', 'cpu_usage': 61.0, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 68.0, 'rx_receiver_throughput': 66.4}
{'elapsed_time': '29:11', 'cpu_usage': 58.5, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.0, 'rx_receiver_throughput': 65.9}
{'elapsed_time': '29:29', 'cpu_usage': 59.6, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.2, 'rx_receiver_throughput': 66.2}
{'elapsed_time': '29:47', 'cpu_usage': 58.8, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 66.2, 'rx_receiver_throughput': 64.7}
{'elapsed_time': '30:04', 'cpu_usage': 57.9, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.9, 'rx_receiver_throughput': 67.7}
{'elapsed_time': '30:22', 'cpu_usage': 61.9, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 69.3, 'rx_receiver_throughput': 67.6}
{'elapsed_time': '30:40', 'cpu_usage': 57.9, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 68.4, 'rx_receiver_throughput': 66.6}
{'elapsed_time': '30:58', 'cpu_usage': 59.0, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 69.7, 'rx_receiver_throughput': 67.7}
{'elapsed_time': '31:16', 'cpu_usage': 54.2, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 69.3, 'rx_receiver_throughput': 67.4}
{'elapsed_time': '31:33', 'cpu_usage': 45.6, 'temperature': 49, 'memory_test_failure': 0, 'tx_sender_throughput': 69.5, 'rx_receiver_throughput': 67.6}
{'elapsed_time': '31:51', 'cpu_usage': 64.1, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 67.4, 'rx_receiver_throughput': 65.7}
{'elapsed_time': '32:09', 'cpu_usage': 54.8, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 68.0, 'rx_receiver_throughput': 66.0}
{'elapsed_time': '32:27', 'cpu_usage': 53.5, 'temperature': 50, 'memory_test_failure': 0, 'tx_sender_throughput': 68.5, 'rx_receiver_throughput': 66.8}
